0 0.009 inf 0.0 0.0 0.0
10 0.0966 0.00196078 0.2342 1.0 0.1
20 0.1889 0.00196078 0.24 1.0 0.1
30 0.282 0.00196078 0.2457 1.0 0.1
40 0.3741 0.00196078 0.2515 1.0 0.1
50 0.4654 0.00196078 0.2572 1.0 0.1
60 0.5538 0.00196078 0.2629 1.0 0.1
70 0.6745 0.00196078 0.2687 1.0 0.1
80 0.7649 0.00196078 0.2753 1.0 0.1
90 0.8572 0.00196078 0.2816 1.0 0.1
100 0.9469 0.00196078 0.2873 1.0 0.1
110 1.0443 0.00196078 0.2931 1.0 0.1
120 1.1334 0.00196078 0.2988 1.0 0.1
130 1.2223 0.00196078 0.3048 1.0 0.1
140 1.3167 0.00196078 0.3114 1.0 0.1
150 1.4128 0.00196078 0.318 1.0 0.1
160 1.5095 0.00196078 0.3241 1.0 0.1
170 1.6095 0.00196078 0.3298 1.0 0.1
180 1.7073 0.00196078 0.3356 1.0 0.1
190 1.8034 0.00196078 0.3424 1.0 0.1
200 1.8995 0.00196078 0.3562 1.0 0.1
210 2.0 0.00196078 0.377 1.0 0.1
220 2.0953 0.00196078 0.3882 1.0 0.1
230 2.195 0.00196078 0.3966 1.0 0.1
240 2.298 0.00196078 0.4121 1.0 0.1
250 2.3988 0.00392157 0.4606 1.0 0.1
260 2.5058 0.00392157 0.497 1.0 0.1
270 2.6033 0.00392157 0.5202 1.0 0.1
280 2.7063 0.00392157 0.5366 1.0 0.1
290 2.8047 0.00392157 0.5706 1.0 0.1
300 2.9007 0.00392157 0.5842 1.0 0.1
310 3.0053 0.00392157 0.6162 1.0 0.1
320 3.1082 0.00392157 0.6331 1.0 0.1
330 3.2047 0.00392157 0.642 1.0 0.1
340 3.3023 0.00392157 0.6547 1.0 0.1
350 3.408 0.00392157 0.662 1.0 0.1
360 3.5131 0.00392157 0.674 1.0 0.1
370 3.6158 0.00392157 0.6828 1.0 0.1
380 3.7238 0.00392157 0.6892 1.0 0.1
390 3.8267 0.00392157 0.7165 1.0 0.1
400 3.929 0.00392157 0.7221 1.0 0.1
410 4.0303 0.00392157 0.7303 1.0 0.1
420 4.1341 0.00392157 0.739 1.0 0.1
430 4.2378 0.00392157 0.7488 1.0 0.1
440 4.3426 0.00392157 0.7558 1.0 0.1
450 4.452 0.00392157 0.7648 1.0 0.1
460 4.558 0.00392157 0.771 1.0 0.1
470 4.6698 0.00392157 0.7767 1.0 0.1
480 4.7771 0.00392157 0.7833 1.0 0.1
490 4.8864 0.00392157 0.7887 1.0 0.1
500 4.9972 0.00392157 0.7945 1.0 0.1
510 5.1074 0.00392157 0.8022 1.0 0.1
520 5.221 0.00392157 0.8079 1.0 0.1
530 5.3323 0.00392157 0.8137 1.0 0.1
540 5.4441 0.00392157 0.8194 1.0 0.1
550 5.5596 0.00392157 0.8252 1.0 0.1
560 5.671 0.00392157 0.8309 1.0 0.1
570 5.813 0.00392157 0.8363 1.0 0.1
580 5.9694 0.00392157 0.8423 1.0 0.1
590 6.1122 0.00392157 0.848 1.0 0.1
600 6.2592 0.00392157 0.8537 1.0 0.1
610 6.4038 0.00392157 0.8598 1.0 0.1
620 6.5488 0.00392157 0.8655 1.0 0.1
630 6.6922 0.00392157 0.8712 1.0 0.1
640 6.84 0.00392157 0.8768 1.0 0.1
650 6.981 0.00392157 0.8826 1.0 0.1
660 7.1246 0.00392157 0.8883 1.0 0.1
670 7.2631 0.00392157 0.894 1.0 0.1
680 7.4002 0.00392157 0.9007 1.0 0.1
690 7.5426 0.00392157 0.9064 1.0 0.1
700 7.6839 0.00392157 0.9123 1.0 0.1
710 7.8196 0.00392157 0.918 1.0 0.1
720 7.9551 0.00392157 0.9241 1.0 0.1
730 8.0892 0.00392157 0.9298 1.0 0.1
740 8.2169 0.00392157 0.9355 1.0 0.1
750 8.3433 0.00392157 0.9413 1.0 0.1
760 8.468 0.00392157 0.9468 1.0 0.1
770 8.5967 0.00392157 0.9529 1.0 0.1
780 8.7273 0.00392157 0.9587 1.0 0.1
790 8.8548 0.00392157 0.9644 1.0 0.1
800 8.9832 0.00392157 0.9701 1.0 0.1
810 9.1136 0.00392157 0.9759 1.0 0.1
820 9.2386 0.00392157 0.9816 1.0 0.1
830 9.3691 0.00392157 0.9874 1.0 0.1
840 9.4966 0.00392157 0.9931 1.0 0.1
850 9.6174 0.00392157 0.9989 1.0 0.1
